Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
2,18,1,1,2,2,Friendship,1,0,2,1,3,0,1,1,0,,,,1,,0
2,22,2,2,2,5,Privacy,1,1,2,2,3,0,2,0,1,20,2,1,2,2,0
1,19,2,1,1,2,Hostel,1,1,1,1,3,0,3,1,0,,,,1,,0
2,20,1,1,1,2,Companionship,1,1,2,1,3,0,2,0,1,19,2,2,2,1,1
1,25,2,1,1,2,Friendship,1,1,1,2,2,0,2,1,1,20,2,1,3,2,0
1,22,2,1,2,1,Parent,1,1,1,1,3,0,3,0,1,18,2,2,2,1,1
2,29,3,2,2,3,Marriage,2,1,2,1,2,0,2,0,1,24,1,1,3,2,0
1,22,2,2,1,2,Hostel,1,0,2,2,3,0,3,0,1,22,2,1,2,2,0
2,23,1,1,1,2,Dependent,1,0,2,2,3,0,1,0,1,20,2,1,2,2,0
1,27,2,1,2,1,Parenthood,1,0,2,1,3,0,2,0,1,22,2,1,3,2,0
1,19,2,1,2,2,Friendship,1,0,1,1,3,0,3,1,0,,,,1,,0
2,22,2,1,1,1,Depending,1,0,1,1,3,0,2,0,1,21,2,1,2,2,0
1,18,2,1,2,5,Privacy,1,0,2,1,3,0,1,1,0,,,,1,,0
2,21,2,2,1,2,Love,1,0,1,1,3,0,3,0,1,20,2,1,2,2,0
2,21,1,1,2,2,Hostel,1,0,2,1,3,0,1,0,1,20,2,1,2,2,0
2,23,2,1,2,2,Parenthood,1,0,2,1,3,0,2,0,1,21,2,1,2,2,0
2,20,1,2,2,5,Privacy,1,0,2,1,3,0,1,0,1,17,2,1,2,1,0
1,21,1,1,1,2,School,1,0,1,2,2,0,3,1,0,,,,2,,0
1,23,1,1,2,5,To avoid roommates trouble,1,0,1,1,3,0,1,0,1,20,2,2,2,2,1
1,26,1,1,2,5,Privacy,1,0,2,2,2,0,2,1,0,,,,3,,0
2,23,2,1,1,2,Hostel,1,0,2,1,3,0,2,1,0,,,,2,,0
2,23,2,1,1,2,Hostel,1,0,2,1,3,0,2,1,0,,,,2,,0
2,22,1,1,1,2,School hostel,1,0,2,2,3,0,1,1,0,,,,2,,0
1,20,2,2,1,2,Hostel,1,1,1,2,2,1,3,0,0,,,,2,,0
2,24,1,1,2,5,Privacy,1,0,2,2,3,0,1,0,0,,,,2,,0
2,23,2,2,2,2,Friendship,1,0,2,1,3,1,3,0,0,,,,2,,0
1,25,2,2,2,5,Nothing,1,1,2,2,2,1,2,0,1,17,2,2,3,1,1
1,26,2,2,2,5,Privacy,1,0,2,1,2,1,2,0,1,16,2,2,3,1,1
2,23,1,1,1,2,Hostel,1,1,1,1,3,1,2,1,1,15,2,2,2,1,1
1,26,2,2,2,5,Privacy,1,0,2,1,2,1,2,0,1,16,2,2,3,1,1
2,20,2,1,2,1,Parenthood,1,1,1,2,3,0,3,0,1,20,2,1,2,2,0
1,29,1,2,2,3,Married,2,0,2,1,2,0,3,1,1,25,1,1,3,2,0
2,28,1,1,2,3,Marriage,2,0,2,2,2,0,2,0,1,26,1,1,3,2,0
1,27,1,1,2,2,Accommodation,1,0,2,1,2,0,2,0,1,20,2,1,3,2,0
1,21,2,1,2,2,Friend,1,0,2,1,2,0,3,1,1,19,2,2,2,1,1
2,23,2,2,2,1,Family,1,0,2,1,3,1,2,0,1,15,2,2,2,1,1
2,25,2,1,2,4,Lovers,1,1,1,1,3,0,1,1,1,20,2,1,3,2,0
1,24,2,1,2,5,For privacy,1,0,2,2,3,0,3,1,1,7,3,2,2,1,1
2,25,1,1,2,2,"I don't like to stay alone, and my parents are not in this Town",1,0,1,2,3,0,3,1,0,,,,3,,0
1,24,2,1,2,2,We are friends,1,1,2,2,3,0,3,0,0,,,,2,,0
2,22,2,2,2,2,The structure of the hostel ( maintenance),1,0,2,1,3,0,3,1,0,,,,2,,0
1,20,2,1,1,1,They are my parents.,1,0,1,2,3,0,3,1,0,,,,2,,0
1,25,2,1,2,2,We are friends,1,1,2,1,3,0,1,1,1,18,1,2,3,1,1
1,30,1,2,1,1,Brother,1,0,1,2,3,0,1,1,0,,,,3,,0
2,24,2,1,2,2,She needs help,1,1,2,1,3,0,3,1,1,19,2,1,2,1,0
