Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
Male,25,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,Nil,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,No,Yes,15,Boyfriend/Girlfriend,More than,27and above,Early,Yes
Male,20,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,They are the roommate school gave me,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,Many,No,No,,,,22-26,,No
Male,20,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,So we can share rent,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,No,Yes,18,Boyfriend/Girlfriend,One,22-26,Early,No
Male,21,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,Personal reasons,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,Yes,Yes,19,Boyfriend/Girlfriend,One,22-26,Early,No
Male,19,Christianity,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,I use him even though he is an asshole,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Many,Yes,No,,,,17-21,,No
Male,21,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Sch authority paired us together in hostel,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,21,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Because...,Single,No,Greater-than #5000,Stable,Parent/relatives.,Yes,Many,No,Yes,12,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,24,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,He is my friend,Single,Yes,Greater-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,21,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Because i love to,Single,No,Greater-than #5000,Stable,Parent/relatives.,Yes,Many,No,Yes,12,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,20,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,I don't have a specific reason,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,No,Few,No,No,,,,22-26,,No
Male,27,Islamic,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,Cause there are my parent,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,27and above,,No
Female,21,Islamic,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Staying in school hostel,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,No,,,,22-26,,No
Male,23,Islamic,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,Same department,Single,Yes,Greater-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
